Lead_ID,Lead_Source,Industry,Total_Visits,Time_Spent_Website,Page_Views,Email_Opens,Email_Clicks,Previous_Interactions,Lead_Quality_Score,Age,Annual_Income,Sales_Calls,Days_Since_Last_Activity,Estimated_Lead_Value
10064,Email,Retail,24.0,1431.0,13.08,0.0,6,11,77.29,43,119805.0,13,18,149782.99
10065,Google,Healthcare,12.0,952.0,8.63,11.0,6,10,53.34,49,74264.0,6,99,88439.99
10066,Website,IT,6.0,897.0,11.98,1.0,9,12,80.58,54,86829.0,9,173,104312.4
10067,Facebook,IT,1.0,932.0,6.85,17.0,5,9,38.16,41,38423.0,8,147,63199.5
10068,Website,Education,4.0,1028.0,10.07,6.0,4,14,37.7,50,63062.0,11,68,89081.98
10069,Facebook,Finance,17.0,1490.0,16.07,16.0,2,4,32.91,46,67805.0,9,83,88586.47
10070,Email,Education,13.0,1004.0,19.64,13.0,2,8,49.76,40,26987.0,2,50,79428.17
10071,Email,Healthcare,18.0,1260.0,18.72,6.0,10,0,60.515,36,87979.0,14,25,138748.96
10072,Email,Education,5.0,417.0,18.74,2.0,8,11,86.23,23,62597.0,9,166,100319.29
10073,Facebook,Manufacturing,30.0,916.0,8.64,5.0,3,4,50.63,57,108905.0,8,121,102478.55
10074,Website,IT,24.0,867.0,9.91,19.0,8,1,67.13,60,52868.0,12,164,95244.18
10075,Email,IT,24.0,1393.0,14.41,1.0,3,8,77.67,45,86829.0,7,68,133111.11
10076,Referral,Retail,27.0,369.0,10.45,16.0,1,5,39.3,43,88805.0,11,56,79255.96
10077,Facebook,Retail,3.0,233.0,3.7,11.0,3,1,33.45,21,144779.0,2,39,55086.22
10078,Facebook,Healthcare,11.0,190.0,6.78,11.0,5,13,97.77,53,105084.0,14,63,121804.77
10079,Website,Manufacturing,13.0,421.0,3.65,16.0,5,2,69.4,35,41636.0,7,128,81741.18
10080,Facebook,Finance,4.0,798.0,12.63,9.0,4,13,98.51,37,82467.0,11,135,121708.72
10081,Facebook,Education,26.0,604.0,10.45,2.0,0,7,47.02,54,122919.0,3,122,85300.19
10082,Email,Healthcare,27.0,563.0,7.2,19.0,2,0,76.24,37,132732.0,5,59,97257.8
10083,Website,Retail,14.0,1123.0,2.35,17.0,4,11,37.81,24,42007.0,11,48,91484.19
10084,Email,Education,22.0,922.0,7.65,12.0,5,2,40.9,33,126460.0,9,133,88376.86
10085,Email,Retail,11.0,434.0,17.39,11.0,0,12,60.95,24,120747.0,1,36,84188.03
10086,Website,Education,27.0,637.0,5.43,16.0,8,9,45.57,27,101864.0,7,88,98997.25
10087,Google,Finance,10.0,857.0,14.21,3.0,2,0,33.41,29,28389.0,12,25,57582.37
10088,Email,Healthcare,19.0,1173.0,12.96,9.0,9,10,41.03,43,143105.0,8,173,98642.84
10089,Referral,Education,18.0,719.0,17.41,10.0,2,10,22.86,53,149535.0,6,19,88424.43
10090,Referral,Manufacturing,6.0,931.0,10.45,5.0,10,7,76.35,53,86829.0,7,135,96924.3
10091,Facebook,IT,27.0,1270.0,19.57,5.0,1,0,59.37,40,93481.0,6,66,97770.93
10092,Referral,Manufacturing,29.0,85.0,12.07,8.0,7,12,27.54,24,99888.0,15,80,87453.65
10093,Facebook,Manufacturing,15.0,395.0,19.91,14.0,2,4,33.74,21,101022.0,10,167,62886.39
10094,Google,IT,21.0,484.0,18.32,1.0,5,3,28.2,54,66400.0,9,125,67703.59
10095,Website,Manufacturing,16.0,133.0,5.21,3.0,1,6,69.01,47,92628.0,3,146,86320.85
10096,Website,Education,10.0,106.0,2.07,4.0,6,13,27.54,41,76857.0,0,103,56797.97
10097,Website,Education,5.0,259.0,5.86,16.0,3,4,80.34,44,89367.0,15,129,95068.28
10098,Referral,Education,26.0,1311.0,11.02,7.0,8,7,21.64,35,61527.0,2,131,71477.31
10099,Google,IT,29.0,1317.0,4.26,7.0,9,11,39.95,55,95648.0,6,127,97930.41
10100,Referral,Manufacturing,5.0,360.0,4.18,11.0,8,13,91.25,45,41937.0,10,21,117130.01
10101,Referral,IT,10.0,1235.0,9.79,20.0,6,10,77.48,29,62672.0,10,126,102686.09
10102,Google,Education,28.0,922.0,1.63,7.0,7,0,25.84,37,136562.0,6,124,69908.03
10103,Google,Manufacturing,5.0,717.0,3.32,18.0,2,4,85.69,41,26112.0,10,158,83541.28
10104,Google,Manufacturing,3.0,56.0,8.9,2.0,10,3,59.44,33,60545.0,12,11,85867.2
10105,Google,Retail,23.0,1329.0,2.2,17.0,4,2,87.74,23,122276.0,2,22,119699.05
10106,Website,Retail,6.0,328.0,8.54,20.0,1,4,68.06,24,114017.0,0,111,74663.66
10107,LinkedIn,Finance,4.0,986.0,10.01,18.0,9,9,74.55,24,73355.0,15,125,107691.7
10108,LinkedIn,Healthcare,18.0,828.0,9.57,18.0,6,14,99.48,48,100561.0,9,57,139688.15
10109,Google,Retail,28.0,1144.0,17.51,14.0,7,2,38.59,27,59082.0,8,89,88593.12
10110,LinkedIn,IT,9.0,509.0,11.07,5.0,8,15,69.92,46,143181.0,11,131,111831.18
10111,LinkedIn,Retail,17.0,602.0,9.89,15.0,10,7,56.83,31,85482.0,5,158,84074.92
10112,Google,Finance,29.0,487.0,8.8,10.0,10,12,23.16,44,104098.0,12,128,80631.08
10113,LinkedIn,Manufacturing,13.0,394.0,16.53,15.0,6,15,21.16,30,36304.0,12,45,72531.23
10114,Referral,Finance,27.0,888.0,18.01,17.0,9,2,29.54,57,147978.0,11,36,100098.8
10115,Facebook,Manufacturing,15.0,380.0,17.21,19.0,9,0,71.93,33,81625.0,6,87,93132.43
10116,Facebook,Manufacturing,30.0,1453.0,13.8,15.0,7,8,65.37,59,97551.0,0,118,114147.17
10117,Google,Healthcare,20.0,282.0,3.61,10.0,8,14,64.27,39,69885.0,0,72,94450.41
10118,Website,Retail,17.0,810.0,6.26,6.0,5,8,22.55,39,149359.0,3,68,72328.09
10119,Google,IT,13.0,832.0,1.88,16.0,9,5,57.54,32,96246.0,6,178,88836.13
10120,Website,IT,16.0,1041.0,10.45,16.0,1,9,93.97,42,37588.0,13,103,124444.57
10121,Facebook,Education,22.0,488.0,13.56,11.0,1,0,51.81,57,140910.0,10,159,80100.09
10122,Google,Manufacturing,4.0,946.0,15.18,12.0,3,7,69.99,50,45967.0,14,29,104233.42
10123,Email,IT,5.0,528.0,6.92,9.0,8,1,82.39,32,112440.0,15,164,101979.22
10124,Referral,Healthcare,5.0,979.0,17.07,6.0,6,8,82.71,49,49256.0,10,105,109534.16
10125,LinkedIn,Manufacturing,9.0,537.0,5.93,13.0,1,13,61.54,41,83348.0,7,73,84408.54
10126,Website,Healthcare,17.0,1357.0,1.03,0.0,7,7,88.64,31,50052.0,9,119,116773.55
10127,Email,IT,13.0,530.0,8.15,16.0,10,2,51.31,57,105972.0,8,85,78820.5
10128,LinkedIn,IT,2.0,832.0,11.84,3.0,6,12,91.1,38,112351.0,0,89,108006.67
10129,LinkedIn,Education,13.0,627.0,10.1,20.0,8,4,39.22,47,83479.0,3,89,72336.36
10130,Google,IT,22.0,195.0,17.38,4.0,7,8,60.515,57,105732.0,3,76,67704.89
10131,LinkedIn,Manufacturing,21.0,791.0,3.0,19.0,2,12,24.25,32,85200.0,2,139,78976.03
10132,Referral,Manufacturing,27.0,491.0,11.52,6.0,0,0,83.65,43,108625.0,6,116,106269.88
10133,Email,Manufacturing,23.0,949.0,10.75,9.0,1,8,53.36,54,140205.0,0,139,91017.78
10134,LinkedIn,Education,19.0,143.0,6.35,16.0,1,15,60.515,58,108140.0,8,154,65326.79
10135,Google,Education,16.0,1486.0,16.62,6.0,3,14,38.54,43,27506.0,12,53,94581.52
10136,Referral,IT,10.0,1021.0,15.3,0.0,5,3,92.11,45,123120.0,7,142,115059.67
10137,Facebook,Finance,2.0,1409.0,14.92,6.0,3,3,86.71,24,45709.0,1,64,98382.21
10138,Email,Finance,13.0,236.0,17.65,10.0,8,14,64.28,50,83535.0,1,138,86296.2
10139,LinkedIn,Education,19.0,1288.0,14.73,8.0,3,3,69.29,50,69840.0,7,31,103056.41
10140,Google,IT,26.0,1495.0,5.4,11.0,5,9,57.95,33,139440.0,10,36,129857.25
10141,Facebook,Finance,17.0,1408.0,14.41,2.0,5,11,51.33,34,137647.0,13,10,127396.31
10142,Facebook,IT,21.0,544.0,6.85,3.0,9,8,93.24,28,85587.0,14,26,132482.27
10143,Website,IT,14.0,1261.0,5.6,3.0,10,13,30.05,44,84321.0,0,20,87532.81
10144,Referral,IT,12.0,738.0,2.39,12.0,9,5,53.48,38,128783.0,12,125,94419.65
10145,LinkedIn,Retail,21.0,1178.0,15.14,18.0,0,10,47.56,55,68202.0,6,44,93871.47
10146,Google,Manufacturing,12.0,167.0,14.51,9.0,7,7,59.85,45,81588.0,8,62,82395.91
10147,Website,IT,11.0,368.0,5.46,4.0,2,11,56.61,37,28090.0,11,79,79083.95
10148,Referral,Retail,7.0,566.0,15.24,6.0,5,13,61.51,52,129801.0,14,9,115573.53
10149,Website,Education,4.0,97.0,18.44,15.0,2,3,31.19,44,84231.0,2,71,35264.6
10150,Email,Finance,19.0,412.0,3.05,0.0,10,15,61.05,27,46552.0,6,90,99410.7
10151,Referral,Manufacturing,1.0,48.0,5.42,11.0,1,2,39.39,33,119671.0,5,24,57941.18
10152,Referral,Finance,28.0,712.0,15.25,1.0,4,13,34.75,47,105227.0,14,140,90381.09
10153,LinkedIn,Manufacturing,24.0,103.0,6.22,6.0,0,0,25.19,25,130297.0,6,60,57778.12
10154,Referral,Finance,29.0,602.0,12.87,10.0,8,9,81.01,56,58741.0,6,84,111897.49
10155,Website,Manufacturing,3.0,968.0,2.54,12.0,10,14,54.2,46,46661.0,9,120,98626.8
10156,Referral,Finance,13.0,1329.0,9.59,1.0,6,14,70.13,51,66025.0,0,78,108020.66
10157,LinkedIn,Finance,15.0,1101.0,15.04,6.0,2,6,78.21,30,31092.0,13,16,122395.07
10158,LinkedIn,Finance,2.0,791.0,14.04,14.0,3,3,74.35,46,60674.0,15,29,97576.13
10159,Email,Finance,11.0,884.0,16.49,10.0,5,13,57.64,42,25570.0,2,160,81261.38
10160,Website,Education,4.0,680.0,17.67,1.0,2,7,60.515,32,37084.0,15,119,87633.26
10161,Facebook,IT,19.0,1023.0,15.69,6.0,6,15,50.08,52,90843.0,9,35,104536.0
10162,Facebook,Healthcare,29.0,724.0,13.76,3.0,5,13,60.515,47,86829.0,0,43,118876.62
10163,Referral,Retail,17.0,569.0,1.6,10.0,8,2,59.58,53,94278.0,4,96,84625.03
10164,Email,Healthcare,3.0,1244.0,11.16,1.0,4,0,87.93,40,132278.0,2,119,102676.26
10165,Google,Healthcare,28.0,1368.0,1.72,15.0,3,4,89.98,59,119328.0,0,53,125913.83
10166,Referral,Manufacturing,18.0,791.0,16.35,6.0,2,13,33.64,60,25765.0,1,20,69254.57
10167,Email,IT,8.0,809.0,7.09,12.0,9,1,30.9,33,132268.0,9,115,75627.34
10168,Website,Manufacturing,22.0,1166.0,11.69,4.0,0,2,70.43,34,49198.0,4,8,96269.54
10169,Website,IT,25.0,199.0,6.31,16.0,2,13,44.1,60,86201.0,10,122,81726.63
10170,Website,IT,24.0,1067.0,15.87,20.0,2,5,21.49,42,98271.0,2,42,70521.22
10171,Website,Finance,26.0,317.0,17.84,11.0,6,2,91.09,38,106738.0,5,77,116097.65
10172,Website,Education,19.0,218.0,8.57,18.0,6,2,38.15,49,72199.0,8,70,67911.34
10173,Email,Finance,5.0,943.0,17.4,6.0,0,11,94.34,36,36377.0,5,111,93850.4
10174,Email,Education,7.0,1208.0,6.07,5.0,2,5,77.39,55,136578.0,1,16,105030.69
10175,LinkedIn,Manufacturing,21.0,723.0,11.16,7.0,7,4,81.01,54,104833.0,15,69,117101.3
10176,Facebook,Education,8.0,917.0,17.32,12.0,8,9,36.12,23,33036.0,1,53,72275.49
10177,Website,Manufacturing,28.0,500.0,7.19,4.0,6,8,38.74,24,65364.0,14,173,78998.66
10178,Google,Healthcare,5.0,1128.0,19.13,1.0,6,0,61.7,25,140227.0,12,179,91324.98
10179,Email,Healthcare,17.0,306.0,3.32,8.0,10,12,33.77,30,114905.0,12,6,102982.12
10180,Google,Education,5.0,969.0,1.35,10.0,7,15,44.43,49,125353.0,15,123,105660.85
10181,Google,Education,4.0,791.0,18.18,5.0,5,2,45.72,52,142971.0,7,33,89107.88
10182,Google,Manufacturing,22.0,1478.0,2.3,6.0,10,2,32.77,51,62443.0,10,15,102048.88
10183,LinkedIn,Finance,19.0,600.0,19.85,6.0,2,15,36.41,22,26663.0,7,14,79186.32
10184,Email,Manufacturing,27.0,886.0,19.08,18.0,0,10,83.08,32,64244.0,5,167,111704.75
10185,Google,Finance,21.0,1030.0,3.6,5.0,6,15,33.38,47,83391.0,9,63,96367.43
10186,Website,Healthcare,2.0,1235.0,11.21,10.0,0,5,22.28,25,102564.0,6,5,64413.56
10187,Referral,IT,11.0,487.0,4.51,10.0,0,7,70.35,57,110359.0,0,121,76683.47
10188,Google,Education,22.0,947.0,9.13,6.0,8,2,98.08,47,40077.0,14,90,130105.57
10189,LinkedIn,Finance,13.0,862.0,2.17,1.0,9,2,46.5,43,82849.0,11,107,90506.48
10190,Email,Manufacturing,15.0,1117.0,5.25,18.0,6,5,29.49,53,86829.0,8,180,78928.44
10191,LinkedIn,Healthcare,12.0,868.0,7.9,3.0,10,7,65.63,24,44631.0,4,16,97993.84
10192,Google,Finance,22.0,1313.0,9.33,5.0,3,5,92.51,41,77652.0,8,99,118801.19
10193,Email,Manufacturing,21.0,222.0,19.57,16.0,5,12,82.72,44,92446.0,15,166,111186.44
10194,Referral,Education,22.0,645.0,16.35,4.0,0,11,69.8,51,58500.0,1,53,90215.85
10195,Google,Education,11.0,435.0,15.01,6.0,6,13,45.2,44,44897.0,13,77,92306.2
10196,LinkedIn,Retail,7.0,972.0,11.2,8.0,5,9,63.35,30,83915.0,15,93,104627.62
10197,Facebook,IT,28.0,750.0,16.96,0.0,3,2,27.3,22,62377.0,7,174,64026.95
10198,Website,Retail,5.0,122.0,7.45,0.0,6,3,74.32,51,101670.0,6,98,81183.95
10199,LinkedIn,Healthcare,17.0,459.0,14.47,18.0,2,0,78.01,45,127760.0,10,98,102143.78
10200,Email,Finance,24.0,683.0,19.88,5.0,0,12,97.2,24,51897.0,13,143,127753.42
10201,Google,Healthcare,20.0,1487.0,6.98,17.0,3,7,40.83,31,72280.0,3,59,101778.65
10202,Website,Manufacturing,9.0,1457.0,13.81,9.0,2,3,21.48,37,126639.0,2,178,58517.02
10203,Google,Education,14.0,463.0,17.04,10.0,0,5,63.65,22,138849.0,3,137,86484.86
10204,Email,Retail,26.0,1165.0,18.4,0.0,1,10,76.54,26,136118.0,3,26,127452.79
10205,Google,Retail,12.0,404.0,14.64,0.0,10,2,83.23,29,82320.0,9,3,107369.84
10206,Facebook,Retail,6.0,1112.0,6.39,12.0,4,10,35.5,25,97592.0,9,100,80596.69
10207,Website,Healthcare,17.0,1096.0,7.2,4.0,7,11,40.94,40,119486.0,7,47,103933.38
10208,Website,Education,19.0,236.0,1.39,19.0,0,10,61.01,49,93289.0,12,5,99164.97
10209,Email,Finance,19.0,809.0,15.46,0.0,3,5,46.45,41,56941.0,12,62,89372.13
10210,Facebook,Manufacturing,26.0,1349.0,1.81,19.0,3,15,88.84,29,124676.0,3,84,142402.03
10211,LinkedIn,Finance,16.0,1171.0,17.43,2.0,4,11,57.9,48,39234.0,13,133,113604.94
10212,Google,Healthcare,12.0,561.0,3.25,17.0,6,10,83.97,28,100172.0,4,138,104003.82
10213,Referral,Manufacturing,12.0,1275.0,4.27,8.0,7,8,66.45,51,28376.0,1,80,90493.34
10214,Google,Retail,20.0,195.0,10.05,13.0,5,8,81.85,40,55783.0,12,63,109949.91
10215,Google,IT,6.0,672.0,15.02,16.0,0,9,46.61,47,66249.0,3,25,70894.75
10216,LinkedIn,Healthcare,23.0,1209.0,3.64,13.0,6,2,86.51,28,68025.0,6,44,130233.24
10217,Google,Healthcare,26.0,1237.0,9.36,3.0,2,2,41.97,41,41447.0,2,153,70441.63
10218,Facebook,Education,4.0,791.0,10.17,4.0,5,3,63.69,48,110865.0,13,158,78471.59
10219,Facebook,Finance,6.0,1147.0,5.03,20.0,7,11,37.12,43,41713.0,13,14,96218.67
10220,Website,Healthcare,11.0,42.0,3.2,16.0,6,6,58.04,26,29858.0,0,86,64447.81
10221,Email,Healthcare,1.0,1002.0,16.89,1.0,9,15,45.45,23,76115.0,15,171,99810.67
10222,Referral,Retail,30.0,834.0,10.55,4.0,5,2,41.34,25,110008.0,12,156,93274.64
10223,Google,Retail,24.0,974.0,1.27,3.0,8,9,97.36,29,84834.0,7,19,150987.34
10224,Google,Manufacturing,23.0,771.0,16.26,3.0,8,7,32.81,27,107060.0,7,102,86804.92
10225,LinkedIn,IT,15.0,1491.0,19.64,5.0,0,10,82.99,24,136923.0,5,170,125357.73
10226,Email,Education,27.0,905.0,12.51,19.0,0,7,98.73,59,29539.0,6,20,122684.05
10227,Facebook,IT,11.0,1203.0,10.57,20.0,0,5,21.59,25,88983.0,14,79,84461.67
10228,Referral,Manufacturing,25.0,689.0,17.69,12.0,7,3,75.92,31,43857.0,9,139,99774.21
10229,Website,Retail,19.0,1061.0,19.1,4.0,9,10,40.23,35,128898.0,10,98,110023.91
10230,Facebook,Finance,18.0,1082.0,15.34,6.0,6,15,23.24,54,127207.0,1,121,85142.47
10231,Email,Retail,17.0,325.0,9.46,19.0,2,11,52.23,33,30364.0,4,152,68944.69
10232,Website,Education,19.0,1015.0,12.25,0.0,1,10,94.82,27,90985.0,11,17,143382.72
10233,LinkedIn,Retail,21.0,955.0,14.32,13.0,3,4,20.94,60,84169.0,6,156,62364.33
10234,LinkedIn,Education,14.0,669.0,4.69,3.0,2,11,67.03,26,111366.0,14,50,119284.66
10235,Google,Education,27.0,369.0,10.45,16.0,6,15,60.11,59,46078.0,8,10,109199.58
10236,Email,Education,18.0,657.0,16.77,20.0,9,1,89.87,50,62574.0,0,149,94526.41
10237,Referral,Manufacturing,28.0,468.0,13.44,13.0,7,12,26.72,42,25869.0,14,58,86533.49
10238,Website,Education,19.0,1197.0,8.81,15.0,5,5,74.52,45,129383.0,2,162,106179.43
10239,Facebook,Education,15.0,971.0,13.6,13.0,2,2,74.41,48,87624.0,5,95,95238.56
10240,Email,Finance,15.0,859.0,3.25,15.0,5,14,73.53,40,65075.0,13,107,117480.44
10241,Email,IT,4.0,548.0,8.63,19.0,1,5,95.39,59,118676.0,6,171,100214.71
10242,LinkedIn,Healthcare,7.0,1005.0,16.07,7.0,6,11,85.85,23,28659.0,5,139,92508.67
10243,Google,IT,13.0,1098.0,5.19,2.0,10,4,23.36,25,61370.0,0,33,69946.54
10244,Google,Education,3.0,984.0,4.53,18.0,9,13,57.69,21,131888.0,3,46,106526.53
10245,Website,Finance,16.0,1292.0,19.07,0.0,6,1,51.84,35,83185.0,5,129,93638.61
10246,LinkedIn,Retail,9.0,981.0,4.99,1.0,3,14,44.81,46,142136.0,7,149,85949.32
10247,Email,Finance,8.0,973.0,5.96,14.0,7,11,56.11,23,104921.0,9,62,99242.75
10248,Referral,Education,20.0,184.0,19.42,9.0,3,12,60.515,60,68751.0,14,87,91761.85
10249,LinkedIn,Finance,13.0,1234.0,14.96,17.0,6,13,60.515,54,87758.0,13,73,110657.79
10250,Website,Finance,17.0,1268.0,14.29,13.0,3,4,98.34,25,147280.0,15,1,145051.69
10251,Website,Education,17.0,117.0,17.21,16.0,4,4,27.09,51,109873.0,3,21,58363.43
10252,LinkedIn,Manufacturing,17.0,1309.0,3.2,12.0,6,13,93.78,33,30131.0,6,22,132394.53
10253,Website,Finance,1.0,1126.0,14.41,0.0,9,8,58.42,21,26358.0,15,4,99984.54
10254,LinkedIn,Healthcare,8.0,960.0,10.57,4.0,2,10,69.9,42,148870.0,10,65,109273.96
10255,Facebook,Healthcare,19.0,208.0,16.75,12.0,9,7,86.41,35,116150.0,2,179,98853.07
10256,LinkedIn,Finance,6.0,241.0,10.65,13.0,4,11,48.84,46,82371.0,7,63,69851.7
10257,LinkedIn,Manufacturing,3.0,1287.0,12.78,2.0,10,11,54.43,38,107307.0,0,143,84162.61
10258,Website,Retail,27.0,494.0,10.08,14.0,2,6,52.76,29,104139.0,3,36,90312.47
10259,Website,Education,5.0,1276.0,10.09,18.0,4,14,49.98,21,41246.0,7,29,103008.91
10260,Google,Healthcare,13.0,660.0,15.59,16.0,2,14,94.04,29,42216.0,9,180,113122.61
10261,Google,Retail,15.0,854.0,12.94,2.0,10,11,86.31,43,66209.0,3,174,114765.86
10262,Facebook,Finance,14.0,1317.0,13.03,15.0,9,12,28.72,22,67987.0,1,69,74925.67
10263,Google,Retail,29.0,1260.0,9.56,13.0,10,14,28.65,34,133024.0,1,157,89249.18
10264,LinkedIn,IT,23.0,636.0,10.45,11.0,6,13,54.23,58,45577.0,3,111,89296.17
10265,Website,Healthcare,16.0,914.0,15.17,11.0,0,2,27.89,60,141526.0,14,175,77121.12
